shoe_id,cards_remaining,dealer_up,initial_hand,dealer_final,dealer_final_value,player_final,player_final_value,actions_taken,run_count,true_count,win
2138,159,10,"[8, 7]","[10, 11]",BJ,"[[8, 7]]",[15],[[]],6,1,-1.0
2150,158,11,"[4, 4]","[11, 2, 3, 4]",20,"[[4, 4, 3, 3, 9]]",[23],"[['N', 'H', 'H', 'H']]",5,1,-1.0
2158,224,10,"[10, 4]","[10, 11]",BJ,"[[10, 4]]",[14],[[]],8,1,-1.0
2184,174,8,"[7, 11]","[8, 10]",18,"[[7, 11]]",[18],[['S']],-12,-3,0.0
2190,312,10,"[2, 10]","[10, 10]",20,"[[2, 10, 2, 4]]",[18],"[['H', 'H', 'S']]",8,1,-1.0
2197,178,9,"[7, 10]","[9, 8]",17,"[[7, 10]]",[17],[['S']],15,4,0.0
2210,301,2,"[10, 10]","[2, 11, 10, 10]",23,"[[10, 10]]",[20],[['S']],6,1,1.0
2214,371,5,"[3, 7]","[5, 2, 3, 3, 2, 10]",25,"[[3, 7, 8]]",[18],[['D']],8,1,2.0
2231,357,10,"[11, 6]","[10, 4, 9]",23,"[[11, 6, 7, 2, 10]]",[26],"[['H', 'H', 'H']]",-8,-1,-1.0
2287,278,8,"[3, 9]","[8, 11]",19,"[[3, 9, 7]]",[19],"[['H', 'S']]",0,0,0.0
2322,240,5,"[8, 11]","[5, 11, 8, 10]",24,"[[8, 11]]",[19],[['S']],1,0,1.0
2351,155,9,"[7, 9]","[9, 10]",19,"[[7, 9]]",[16],[['R']],5,1,-0.5
2365,162,5,"[10, 5]","[5, 3, 10]",18,"[[10, 5]]",[15],[['S']],-4,-1,-1.0
2370,343,11,"[11, 8]","[11, 6, 2]",19,"[[11, 8]]",[19],"[['N', 'S']]",-2,0,0.0
2383,371,8,"[2, 2]","[8, 11]",19,"[[2, 2, 6, 10]]",[20],"[['H', 'H', 'S']]",1,0,1.0
2388,328,10,"[2, 3]","[10, 7]",17,"[[2, 3, 8, 4]]",[17],"[['H', 'H', 'S']]",-4,0,0.0
2394,174,9,"[4, 3]","[9, 2, 2, 7]",20,"[[4, 3, 10]]",[17],"[['H', 'S']]",1,0,-1.0
2414,388,4,"[2, 7]","[4, 2, 11, 10]",17,"[[2, 7, 10]]",[19],[['D']],6,0,2.0
2448,179,11,"[10, 3]","[11, 10]",BJ,"[[10, 3]]",[13],[['N']],9,2,-1.0
2458,278,10,"[8, 4]","[10, 5, 5]",20,"[[8, 4, 9]]",[21],"[['H', 'S']]",4,0,1.0
2522,116,7,"[8, 10]","[7, 3, 10]",20,"[[8, 10]]",[18],[['S']],11,4,-1.0
2530,373,9,"[2, 10]","[9, 8]",17,"[[2, 10, 11, 4]]",[17],"[['H', 'H', 'S']]",-2,0,0.0
2547,416,4,"[4, 6]","[4, 6, 8]",18,"[[4, 6, 7]]",[17],[['D']],0,0,-2.0
2586,365,4,"[5, 6]","[4, 6, 6, 3]",19,"[[5, 6, 10]]",[21],[['D']],1,0,2.0
2601,220,10,"[10, 5]","[10, 9]",19,"[[10, 5]]",[15],[['R']],4,0,-0.5
2637,209,10,"[3, 4]","[10, 3, 2, 10]",25,"[[3, 4, 6, 10]]",[23],"[['H', 'H']]",-2,0,-1.0
2649,179,2,"[5, 10]","[2, 10, 5]",17,"[[5, 10]]",[15],[['S']],1,0,-1.0
2657,189,2,"[6, 5]","[2, 4, 10, 3]",19,"[[6, 5, 3]]",[14],[['D']],10,2,-2.0
2683,370,4,"[3, 9]","[4, 6, 6, 10]",26,"[[3, 9]]",[12],[['S']],-6,0,1.0
2688,406,8,"[9, 9]","[8, 10]",18,"[[9, 4, 3, 10], [9, 2, 9]]","[26, 20]","[['P', 'H', 'H'], ['D']]",-1,0,1.0
2694,207,4,"[8, 6]","[4, 11, 9, 5]",19,"[[8, 6]]",[14],[['S']],10,2,-1.0
2728,250,5,"[10, 8]","[5, 4, 9]",18,"[[10, 8]]",[18],[['S']],1,0,0.0
2743,397,10,"[10, 10]","[10, 7]",17,"[[10, 10]]",[20],[['S']],3,0,1.0
2745,153,5,"[9, 3]","[5, 10, 9]",24,"[[9, 3]]",[12],[['S']],3,1,1.0
2764,311,4,"[9, 10]","[4, 4, 10]",18,"[[9, 10]]",[19],[['S']],-2,0,1.0
2794,410,9,"[3, 4]","[9, 9]",18,"[[3, 4, 8, 5]]",[20],"[['H', 'H', 'S']]",-1,0,1.0
2802,90,6,"[8, 2]","[6, 3, 9]",18,"[[8, 2, 2]]",[12],[['D']],-16,-9,-2.0
2805,217,11,"[10, 2]","[11, 3, 3, 4]",21,"[[10, 2, 10]]",[22],"[['N', 'H']]",-8,-1,-1.0
2806,110,10,"[11, 11]","[10, 10]",20,"[[11, 5], [11, 10]]","[16, 21]","[['P'], []]",4,1,0.0
2814,150,4,"[7, 10]","[4, 8, 4, 5]",21,"[[7, 10]]",[17],[['S']],16,5,-1.0
2817,327,6,"[11, 2]","[6, 6, 10]",22,"[[11, 2, 2]]",[15],[['D']],-5,0,2.0
2833,405,10,"[2, 10]","[10, 6, 10]",26,"[[2, 10, 10]]",[22],[['H']],6,0,-1.0
2833,195,10,"[10, 5]","[10, 4, 10]",24,"[[10, 5]]",[15],[['R']],10,2,-0.5
2850,231,2,"[7, 7]","[2, 10, 5]",17,"[[7, 8], [7, 10]]","[15, 17]","[['P', 'S'], ['S']]",4,0,-1.0
2858,341,2,"[2, 2]","[2, 10, 10]",22,"[[2, 5, 7], [2, 10, 5]]","[14, 17]","[['P', 'H', 'S'], ['H', 'S']]",-3,0,2.0
2872,366,4,"[8, 10]","[4, 2, 10, 10]",26,"[[8, 10]]",[18],[['S']],1,0,1.0
2886,302,7,"[7, 5]","[7, 7, 5]",19,"[[7, 5, 10]]",[22],[['H']],14,2,-1.0
2901,301,9,"[10, 9]","[9, 10]",19,"[[10, 9]]",[19],[['S']],-2,0,0.0
2918,300,9,"[10, 3]","[9, 9]",18,"[[10, 3, 6]]",[19],"[['H', 'S']]",-6,-1,1.0
2919,254,10,"[6, 10]","[10, 2, 10]",22,"[[6, 10]]",[16],[['R']],5,1,-0.5
2924,391,6,"[6, 9]","[6, 10, 5]",21,"[[6, 9]]",[15],[['S']],-4,0,-1.0
2929,130,4,"[7, 10]","[4, 6, 10]",20,"[[7, 10]]",[17],[['S']],1,0,-1.0
2934,110,5,"[5, 10]","[5, 3, 11]",19,"[[5, 10]]",[15],[['S']],1,0,-1.0
2944,112,4,"[8, 9]","[4, 2, 10, 8]",24,"[[8, 9]]",[17],[['S']],2,0,1.0
2945,357,11,"[6, 9]","[11, 6, 6, 4]",17,"[[6, 9]]",[15],"[['N', 'R']]",4,0,-0.5
2953,210,7,"[10, 7]","[7, 6, 10]",23,"[[10, 7]]",[17],[['S']],-4,0,1.0
2959,164,10,"[4, 9]","[10, 8]",18,"[[4, 9, 3, 10]]",[26],"[['H', 'H']]",6,1,-1.0
2993,192,7,"[8, 9]","[7, 9, 5]",21,"[[8, 9]]",[17],[['S']],3,0,-1.0
2993,90,10,"[11, 4]","[10, 10]",20,"[[11, 4, 4]]",[19],"[['H', 'S']]",10,5,-1.0
3001,282,11,"[10, 11]","[11, 9]",20,"[[10, 11]]",['BJ'],"[['N', 'S']]",8,1,1.5
3031,102,10,"[4, 10]","[10, 3, 11, 3]",17,"[[4, 10, 8]]",[22],[['H']],-14,-7,-1.0
3036,378,10,"[8, 10]","[10, 6, 2]",18,"[[8, 10]]",[18],[['S']],-8,-1,0.0
3060,177,3,"[10, 3]","[3, 7, 10]",20,"[[10, 3]]",[13],[['S']],-2,0,-1.0
3092,197,9,"[10, 8]","[9, 8]",17,"[[10, 8]]",[18],[['S']],10,2,1.0
3104,359,6,"[10, 5]","[6, 6, 8]",20,"[[10, 5]]",[15],[['S']],-1,0,-1.0
3113,342,10,"[3, 7]","[10, 11]",BJ,"[[3, 7]]",[10],[[]],-8,-1,-1.0
3133,337,10,"[2, 4]","[10, 10]",20,"[[2, 4, 11, 3]]",[20],"[['H', 'H', 'S']]",3,0,0.0
3160,170,9,"[9, 4]","[9, 3, 2, 11, 7]",22,"[[9, 4, 5]]",[18],"[['H', 'S']]",-8,-2,1.0
3190,216,10,"[8, 11]","[10, 4, 4]",18,"[[8, 11]]",[19],[['S']],6,1,1.0
3192,88,10,"[9, 7]","[10, 10]",20,"[[9, 7]]",[16],[['R']],4,2,-0.5
3193,172,10,"[2, 10]","[10, 11]",BJ,"[[2, 10]]",[12],[[]],-2,0,-1.0
3196,81,3,"[2, 10]","[3, 10, 7]",20,"[[2, 10, 8]]",[20],"[['H', 'S']]",5,3,0.0
3215,276,2,"[10, 10]","[2, 10, 10]",22,"[[10, 10]]",[20],[['S']],3,0,1.0
3236,232,3,"[10, 3]","[3, 5, 5, 8]",21,"[[10, 3]]",[13],[['S']],-9,-2,-1.0
3236,112,6,"[8, 6]","[6, 8, 9]",23,"[[8, 6]]",[14],[['S']],-3,-1,1.0
3243,128,11,"[7, 3]","[11, 10]",BJ,"[[7, 3]]",[10],[['N']],-13,-5,-1.0
3249,338,4,"[6, 10]","[4, 10, 11, 10]",25,"[[6, 10]]",[16],[['S']],5,0,1.0
3255,217,2,"[6, 8]","[2, 3, 10, 10]",25,"[[6, 8]]",[14],[['S']],-8,-1,1.0
3261,312,10,"[7, 10]","[10, 10]",20,"[[7, 10]]",[17],[['S']],-8,-1,-1.0
3277,174,8,"[7, 10]","[8, 6, 6]",20,"[[7, 10]]",[17],[['S']],3,0,-1.0
3358,100,10,"[4, 11]","[10, 3, 8]",21,"[[4, 11, 10, 10]]",[25],"[['H', 'H']]",5,2,-1.0
3373,198,5,"[11, 2]","[5, 10, 10]",25,"[[11, 2, 10]]",[13],[['D']],-3,0,2.0
3431,416,7,"[10, 3]","[7, 3, 10]",20,"[[10, 3, 9]]",[22],[['H']],-3,0,-1.0
3433,107,3,"[11, 10]","[3, 11, 11, 10, 5]",20,"[[11, 10]]",['BJ'],[['S']],-8,-3,1.5
3448,176,9,"[3, 10]","[9, 10]",19,"[[3, 10, 10]]",[23],[['H']],9,2,-1.0
3472,405,5,"[4, 9]","[5, 3, 8, 6]",22,"[[4, 9]]",[13],[['S']],-1,0,1.0
3486,247,10,"[10, 10]","[10, 5, 10]",25,"[[10, 10]]",[20],[['S']],3,0,1.0
3487,367,10,"[11, 7]","[10, 10]",20,"[[11, 7, 10]]",[18],"[['H', 'S']]",-9,-1,-1.0
3514,370,9,"[5, 10]","[9, 7, 3]",19,"[[5, 10, 10]]",[25],[['H']],5,0,-1.0
3515,161,10,"[7, 11]","[10, 5, 6]",21,"[[7, 11, 8, 2]]",[18],"[['H', 'H', 'S']]",3,0,-1.0
3534,395,10,"[10, 8]","[10, 4, 9]",23,"[[10, 8]]",[18],[['S']],-3,0,1.0
3536,112,11,"[5, 5]","[11, 8]",19,"[[5, 5, 10]]",[20],"[['N', 'H', 'S']]",6,2,1.0
3547,354,8,"[10, 6]","[8, 10]",18,"[[10, 6, 10]]",[26],[['H']],-8,-1,-1.0
3572,356,10,"[5, 5]","[10, 11]",BJ,"[[5, 5]]",[10],[[]],-13,-1,-1.0
3572,295,7,"[7, 10]","[7, 6, 2, 7]",22,"[[7, 10]]",[17],[['S']],-2,0,1.0
3575,163,6,"[5, 4]","[6, 4, 3, 4]",17,"[[5, 4, 7]]",[16],[['D']],-13,-4,-2.0
3605,303,2,"[10, 5]","[2, 10, 3, 10]",25,"[[10, 5]]",[15],[['S']],-2,0,1.0
3605,116,3,"[7, 8]","[3, 2, 5, 9]",19,"[[7, 8]]",[15],[['S']],-8,-3,-1.0
